clave,nombre,estado,municipio,latitud,longitud,pga_g,lluvia_diseno_100a_mm,poblacion_30km,percentil_sismico,percentil_hidrologico,percentil_poblacional,indice_prioridad
ENDHD,"Endhó, Hgo.",Hidalgo,Tepetitlán,20.163889,-99.36,0.18120188022222447,45.50792881943562,568390,70.0,12.142857142857142,81.42857142857143,61.25
AFIGR,"Andrés Figueroa, Gro.",Guerrero,Ajuchitlán del Progreso,18.075833,-100.5175,0.5814369298473898,81.97673842266073,82905,98.09523809523809,69.52380952380952,38.57142857142858,61.19047619047619
DGNMC,"De Gonzalo, Mich.",Michoacán de Ocampo,Vista Hermosa,20.304444,-102.436944,0.14737774526410413,62.41180661845634,300764,62.857142857142854,53.095238095238095,63.8095238095238,60.89285714285714
ERECH,"El Rejón, Chih.",Chihuahua,Chihuahua,28.614722,-106.119444,0.02184745998795343,58.11996657396926,939674,15.238095238095239,47.85714285714286,90.0,60.773809523809526
UREMC,"Urepetiro, Mich.",Michoacán de Ocampo,Tlazazalca,19.962222,-102.137778,0.1989653,49.618858998252875,420582,71.42857142857143,24.047619047619047,73.80952380952381,60.773809523809526
PENCP,"Ángel Albino Corzo, Chis.",Chiapas,Ostuacán,17.446111,-93.458611,0.2704685868183486,134.4550016684256,67660,82.38095238095238,90.0,34.285714285714285,60.23809523809524
LCLJL,"La Colonia, Jal.",Jalisco,Zapotlán del Rey,20.43,-102.931944,0.14873680605654752,55.31574657893303,328948,63.33333333333333,39.04761904761905,68.0952380952381,59.642857142857146
ZICMC,"Zicuirán, Mich.",Michoacán de Ocampo,La Huacana,18.921111,-101.931944,0.43909828653443483,79.46136307102556,97777,90.95238095238095,66.66666666666666,40.476190476190474,59.64285714285714
CHLJL,"Chila, Jal.",Jalisco,Zapotlán del Rey,20.489722,-102.944167,0.1418466987527056,55.31574657893303,338034,60.476190476190474,39.04761904761905,69.04761904761905,59.404761904761905
JARMC,"Jaripo, Mich.",Michoacán de Ocampo,Villamar,19.958333,-102.601944,0.20520190000000005,57.98185581688091,258487,72.85714285714285,46.666666666666664,59.04761904761905,59.404761904761905
ANGCP,"Doctor Belisario Domínguez, Chis.",Chiapas,Acala,16.401389,-92.778889,0.39327548687164215,74.07886953751381,113967,89.04761904761904,63.8095238095238,42.38095238095238,59.4047619047619
ABRAG,"Abelardo L. Rodríguez, Ags.",Aguascalientes,Jesús María,21.916944,-102.427778,0.03163295000296011,51.71587240536324,984306,26.190476190476193,30.238095238095237,90.47619047619048,59.3452380952381
NGRAG,"El Niágara, Ags.",Aguascalientes,Aguascalientes,21.78,-102.371667,0.0412889399992795,51.71587240536324,930934,29.04761904761905,30.238095238095237,89.04761904761904,59.34523809523809
PFBMX,"Francisco José Trinidad Fabela, Méx.",México,Atlacomulco,19.829167,-99.790278,0.17738252029322482,44.22685919089239,556246,69.52380952380952,7.6190476190476195,80.0,59.285714285714285
LDFMC,"Laguna del Fresno, Mich.",Michoacán de Ocampo,Maravatío,19.838056,-100.406389,0.23503951313657248,50.296431135107994,315821,77.14285714285715,26.190476190476193,66.66666666666666,59.166666666666664
LOLMC,"Los Olivos, Mich.",Michoacán de Ocampo,Tepalcatepec,19.210833,-102.865556,0.4049438191088895,105.63103997829683,58458,90.0,81.19047619047619,32.38095238095238,58.98809523809524
CPAMC,"Copándaro, Mich.",Michoacán de Ocampo,Jiquilpan,20.001667,-102.861389,0.2047151,64.19628911240744,219043,72.38095238095238,55.00000000000001,53.80952380952381,58.75
LCLGR,"La Calera, Gro.",Guerrero,Zirándaro,18.418611,-101.003056,0.5415865450017016,87.99940725789665,64659,95.23809523809523,71.9047619047619,33.33333333333333,58.45238095238094
EBLSI,"Lic. Eustaquio Buelna, Sin.",Sinaloa,Salvador Alvarado,25.484722,-108.065556,0.10315427882351064,139.16241381179435,136762,50.0,91.42857142857143,45.714285714285715,58.21428571428572
JLPQT,"Jalpan, Qro.",Querétaro,Jalpan de Serra,21.230278,-99.479722,0.39183823547330143,95.73573868132704,69109,88.09523809523809,74.76190476190476,34.76190476190476,58.09523809523809
VEGJL,"Ing. Santiago Camarena, Jal.",Jalisco,Teuchitlán,20.596389,-103.845833,0.1406775562684933,60.23310416220162,269974,59.523809523809526,50.23809523809524,60.952380952380956,57.91666666666667
JCQAG,"Jocoque, Ags.",Aguascalientes,San José de Gracia,22.121667,-102.356944,0.022742816370801725,51.71587240536324,1021605,17.61904761904762,30.238095238095237,91.42857142857143,57.67857142857143
VCVJL,"Vicente C. Villaseñor, Jal.",Jalisco,Valle de Juárez,19.939722,-102.941667,0.23256629998936357,64.19628911240744,196362,76.66666666666667,55.00000000000001,49.523809523809526,57.67857142857143
MALCP,"Nezahualcóyotl, Chis.",Chiapas,Tecpatán,17.178611,-93.598889,0.3456277431858785,102.58470959400896,57036,86.66666666666667,80.0,31.9047619047619,57.61904761904762
